way_id,lon,lat
481301759,-71.514,-16.2796
481301759,-71.5139,-16.28
481301759,-71.5139,-16.2801
481301759,-71.514,-16.2803
481301759,-71.514,-16.2803
481301759,-71.5141,-16.2804
481301759,-71.5143,-16.2806
481301759,-71.5144,-16.2807
481301759,-71.5145,-16.2808
481301759,-71.5146,-16.281
481301759,-71.5146,-16.2812
481301759,-71.5147,-16.2813
481301759,-71.5148,-16.2814
481301759,-71.5148,-16.2815
481301759,-71.5149,-16.2816
481301759,-71.515,-16.2817
481301885,-71.5161,-16.2895
481301885,-71.516,-16.2895
481301885,-71.5159,-16.2895
481301885,-71.5158,-16.2895
481301885,-71.5158,-16.2894
481301885,-71.5157,-16.2893
481301885,-71.5157,-16.2893
481301885,-71.5157,-16.2891
481301885,-71.5157,-16.2888
481301885,-71.5157,-16.2887
481301885,-71.5156,-16.2883
481301885,-71.5156,-16.2881
481301885,-71.5156,-16.2879
481301885,-71.5156,-16.2877
481301885,-71.5156,-16.2875
481301885,-71.5155,-16.2873
481301885,-71.5153,-16.2865
481301885,-71.5152,-16.2861
481301885,-71.5152,-16.2857
481301885,-71.5151,-16.2852
481301885,-71.5151,-16.2846
481301885,-71.5151,-16.2844
481301885,-71.5149,-16.2839
481301885,-71.5149,-16.2837
481301885,-71.5149,-16.2836
481301885,-71.5149,-16.2835
481304731,-71.5136,-16.3007
481304731,-71.5131,-16.2996
481304731,-71.5126,-16.2985
481304960,-71.5159,-16.3002
481304960,-71.5159,-16.3
481304960,-71.5157,-16.2997
481304960,-71.5157,-16.2996
481304960,-71.5154,-16.2991
481304960,-71.5152,-16.2985
481304960,-71.5147,-16.2975
481304960,-71.5146,-16.2972
481304960,-71.5143,-16.2967
481304960,-71.5141,-16.2964
481304960,-71.514,-16.2961
481304960,-71.5139,-16.2959
481304960,-71.5139,-16.2957
481304960,-71.5136,-16.2953
481304961,-71.5163,-16.2994
481304961,-71.5157,-16.2983
481304961,-71.5152,-16.2973
481305190,-71.5152,-16.2973
481305190,-71.5147,-16.2961
481305190,-71.5141,-16.295
481305190,-71.5137,-16.294
481305190,-71.5136,-16.2939
481305194,-71.5136,-16.2939
481305194,-71.5131,-16.2942
481305194,-71.5129,-16.2943
481305194,-71.5127,-16.2944
481305194,-71.5125,-16.2945
481305194,-71.5122,-16.2946
481305194,-71.512,-16.2947
481305194,-71.5116,-16.2949
481305194,-71.5115,-16.2949
481305195,-71.5115,-16.2949
481305195,-71.5119,-16.2957
481305195,-71.512,-16.296
481305195,-71.5125,-16.2971
481305195,-71.5131,-16.2983
481305195,-71.5136,-16.2994
481305195,-71.5141,-16.3005
481305196,-71.5131,-16.2942
481305196,-71.5136,-16.2953
481305865,-71.5104,-16.293
481305865,-71.5107,-16.293
481305865,-71.5108,-16.293
481305865,-71.5113,-16.293
481305865,-71.5118,-16.293
481305865,-71.5121,-16.293
481305865,-71.5122,-16.293
481305865,-71.5127,-16.293
481305865,-71.5132,-16.293
481305865,-71.5132,-16.293
481305865,-71.5136,-16.293
481305865,-71.5139,-16.293
481305865,-71.514,-16.293
481305865,-71.514,-16.2929
481305865,-71.5141,-16.2929
481305869,-71.5097,-16.289
481305869,-71.5103,-16.289
481305869,-71.5107,-16.289
481305869,-71.5112,-16.289
481305869,-71.5117,-16.289
481305869,-71.5121,-16.289
481305869,-71.5126,-16.289
481305869,-71.513,-16.289
481305878,-71.5136,-16.293
481305878,-71.5136,-16.2938
481305878,-71.5136,-16.2939
481305879,-71.5136,-16.289
481305879,-71.5136,-16.2899
481305879,-71.5136,-16.2909
481305879,-71.5136,-16.292
481305880,-71.5141,-16.2889
481305880,-71.5141,-16.2891
481305880,-71.5141,-16.2899
481305880,-71.5141,-16.291
481305880,-71.5141,-16.292
481305880,-71.5141,-16.2929
481305881,-71.5146,-16.289
481305881,-71.5146,-16.2899
481305881,-71.5146,-16.2909
481305881,-71.5146,-16.292
481305881,-71.5146,-16.293
481305882,-71.5132,-16.2899
481305882,-71.5136,-16.2899
481305882,-71.5141,-16.2899
481305882,-71.5146,-16.2899
481305882,-71.515,-16.2899
481305886,-71.5103,-16.2873
481305886,-71.5102,-16.2875
481305886,-71.5102,-16.288
481305886,-71.5103,-16.289
481305886,-71.5103,-16.29
481305886,-71.5103,-16.291
481305886,-71.5103,-16.2918
481305886,-71.5104,-16.2919
481305886,-71.5104,-16.292
481305886,-71.5105,-16.292
481306122,-71.5122,-16.3066
481306122,-71.512,-16.3066
