source_id,target_id,distance
1264293979,11010687296,2.53985
1264293979,1264346408,5.54427
1264346408,1264293979,5.54427
1264346408,10967277269,3.9163
10967277269,1264346408,3.9163
10967277269,1264284162,3.97499
1264284162,10967277269,3.97499
1264284162,11113125994,4.51735
11113125994,1264284162,4.51735
11113125994,1264337384,2.44778
1264337384,11113125994,2.44778
1264337384,10967277268,6.47128
10967277268,1264337384,6.47128
10967277268,1264301913,10.2422
1264301913,10967277268,10.2422
1264301913,10967277267,8.77474
10967277267,1264301913,8.77474
10967277267,11027066629,4.66785
11027066629,10967277267,4.66785
11027066629,1264347783,15.1449
1264347783,11027066629,15.1449
1264347783,5462556583,19.2052
5462556583,1264347783,19.2052
5462556583,5426872999,30.7997
5426872999,5462556583,30.7997
5426872999,10967277271,0.745668
10967277271,5426872999,0.745668
10967277271,11010687297,3.35707
11010687297,10967277271,3.35707
11010687297,1264288472,28.0076
1264288472,11010687297,28.0076
1264288472,1253001021,12.1656
1253001021,1264288472,12.1656
1253001021,5113939617,7.79794
5113939617,1253001021,7.79794
5113939617,11027066652,9.3796
11027066652,5113939617,9.3796
11027066652,5426871009,11.998
5426871009,11027066652,11.998
5426871009,5416554550,13.1667
5416554550,5426871009,13.1667
5416554550,5462566538,24.6574
5462566538,5416554550,24.6574
5462566538,1264357910,13.4463
1264357910,5462566538,13.4463
1264357910,1264281535,36.3402
1264281535,1264357910,36.3402
1264281535,9235724406,23.7062
9235724406,1264281535,23.7062
9235724406,1252997918,12.5801
1252997918,9235724406,12.5801
1253001021,11027066649,29.6558
11027066649,1253001021,29.6558
11027066649,11027066655,27.7436
11027066655,11027066649,27.7436
11027066655,1264285712,2.75621
1264285712,11027066655,2.75621
5462556577,5113939608,31.6793
5113939608,5462556577,31.6793
5113939608,5113939609,54.0329
5113939609,5113939608,54.0329
1252997918,1252992809,45.6406
1252992809,1252997918,45.6406
1252992809,1264321567,54.7218
1264321567,1252992809,54.7218
5115149008,1264358155,21.1386
1264358155,5115149008,21.1386
1264358155,1253002047,66.9223
1253002047,1264358155,66.9223
1253002047,5413256919,80.7472
5413256919,1253002047,80.7472
5415368376,5415368375,22.1606
5415368375,5415368376,22.1606
5415368375,10958811758,18.362
10958811758,5415368375,18.362
10958811758,5489103736,21.281
5489103736,10958811758,21.281
5489103736,4451087467,16.8078
4451087467,5489103736,16.8078
4451087467,10958811759,7.15527
10958811759,4451087467,7.15527
10958811759,5517395234,8.49054
5517395234,10958811759,8.49054
5517395234,5517395237,9.73204
5517395237,5517395234,9.73204
5517395237,10988350307,9.29013
10988350307,5517395237,9.29013
10988350307,5517395235,13.3903
5517395235,10988350307,13.3903
5462556576,11027066632,21.7281
11027066632,5462556576,21.7281
11027066632,5462556575,14.9847
5462556575,11027066632,14.9847
5462556575,5462556574,15.5236
5462556574,5462556575,15.5236
5462556574,11027066633,5.01744
11027066633,5462556574,5.01744
11027066633,5579802518,19.7812
5579802518,11027066633,19.7812
5579802518,10967277384,44.0597
10967277384,5579802518,44.0597
10967277384,1264323566,27.5967
1264323566,10967277384,27.5967
1264323566,5113939613,12.2776
5113939613,1264323566,12.2776
5113939613,5113939609,9.20592
5113939609,5113939613,9.20592
5113939609,10967277387,22.011
10967277387,5113939609,22.011
10967277387,5462556573,17.4111
5462556573,10967277387,17.4111
5462556573,11064204545,12.2895
11064204545,5462556573,12.2895
11064204545,5462556572,23.1
5462556572,11064204545,23.1
5462556572,10967277371,10.7372
10967277371,5462556572,10.7372
10967277371,5462556571,8.44748
5462556571,10967277371,8.44748
5462556571,10967277372,15.0676
10967277372,5462556571,15.0676
10967277372,5462556570,13.671
5462556570,10967277372,13.671
5462556570,11064204546,2.15614
11064204546,5462556570,2.15614
11064204546,10967277373,10.2479
10967277373,11064204546,10.2479
10967277373,5462556569,11.4559
5462556569,10967277373,11.4559
5462556569,10967277374,8.1538
10967277374,5462556569,8.1538
10967277374,10967277370,5.67136
10967277370,10967277374,5.67136
10967277370,5462556568,6.16153
5462556568,10967277370,6.16153
5416508895,5709472926,22.9265
5709472926,5416508895,22.9265
5709472926,5115233699,6.51794
5115233699,5709472926,6.51794
5115233699,10993714600,3.21431
10993714600,5115233699,3.21431
10993714600,5709472925,3.21305
5709472925,10993714600,3.21305
5709472925,5709472924,17.7473
5709472924,5709472925,17.7473
5709472924,5115233700,16.5502
5115233700,5709472924,16.5502
5115233700,5462566426,17.6836
5462566426,5115233700,17.6836
5462566426,10993714597,10.2964
10993714597,5462566426,10.2964
10993714597,5709472921,23.941
5709472921,10993714597,23.941
5709472921,5709472923,5.40386
5709472923,5709472921,5.40386
5709472923,5709472922,9.63922
5709472922,5709472923,9.63922
5709472922,5416508896,15.5677
5416508896,5709472922,15.5677
5416508896,10967277335,14.9906
10967277335,5416508896,14.9906
10967277335,10967277336,13.4009
10967277336,10967277335,13.4009
10967277336,5709471720,10.6232
5709471720,10967277336,10.6232
5709471720,5416508897,18.8987
5416508897,5709471720,18.8987
5416508897,5709455697,28.4401
5709455697,5416508897,28.4401
5709455697,5709455696,22.4487
5709455696,5709455697,22.4487
5709455696,5416508898,7.70989
5416508898,5709455696,7.70989
5416508898,10993890768,17.5872
10993890768,5416508898,17.5872
10993890768,10993890769,27.1658
10993890769,10993890768,27.1658
10993890769,10993890770,8.61806
10993890770,10993890769,8.61806
10993890770,5416508899,3.97939
5416508899,10993890770,3.97939
5416508899,5416508900,57.7911
5416508900,5416508899,57.7911
1252982415,1252969455,47.9198
1252969455,1252982415,47.9198
1252908914,5213022338,22.3248
5213022338,1252908914,22.3248
5213022338,5213022337,18.2391
5213022337,5213022338,18.2391
5213022337,1264319230,33.1215
1264319230,5213022337,33.1215
5381265040,11050326091,50.8892
11050326091,5381265040,50.8892
11050326091,10827503378,56.6314
10827503378,11050326091,56.6314
10827503378,5416554582,57.843
5416554582,10827503378,57.843
5416554582,1253001291,10.0623
1253001291,5416554582,10.0623
1253001291,8990421404,5.77828
8990421404,1253001291,5.77828
8990421404,5113922602,8.36204
5113922602,8990421404,8.36204
5113922602,1264308671,33.1483
1264308671,5113922602,33.1483
1264308671,1264367918,113.441
1264367918,1264308671,113.441
1264367918,1264332996,22.4058
1264332996,1264367918,22.4058
1264332996,1264284223,18.3976
1264284223,1264332996,18.3976
1264284223,5579802514,13.94
5579802514,1264284223,13.94
5579802514,1264314881,15.3323
1264314881,5579802514,15.3323
1264314881,6824295836,18.3964
6824295836,1264314881,18.3964
6824295836,1264313704,14.398
1264313704,6824295836,14.398
1264313704,6824295837,26.258
6824295837,1264313704,26.258
6824295837,1264294075,23.7197
1264294075,6824295837,23.7197
1264294075,5416554600,47.1533
5416554600,1264294075,47.1533
5416554600,1264337427,9.01027
1264337427,5416554600,9.01027
1264337427,1264365503,15.0074
1264365503,1264337427,15.0074
1264365503,10958659988,10.1022
10958659988,1264365503,10.1022
10958659988,1264295043,10.8211
1264295043,10958659988,10.8211
1264295043,5416554605,4.75729
5416554605,1264295043,4.75729
5416554605,1264346718,8.60363
1264346718,5416554605,8.60363
1264346718,5113922605,13.9682
5113922605,1264346718,13.9682
5113922605,4978638234,20.9786
4978638234,5113922605,20.9786
4978638234,11024180683,8.91655
11024180683,4978638234,8.91655
11024180683,1264281994,7.0601
1264281994,11024180683,7.0601
1264281994,11024180682,19.4835
11024180682,1264281994,19.4835
11024180682,4978638235,19.2461
4978638235,11024180682,19.2461
4978638235,11024180681,36.7993
11024180681,4978638235,36.7993
11024180681,5416554603,3.92724
5416554603,11024180681,3.92724
5416554603,1253006420,9.72473
1253006420,5416554603,9.72473
1253006420,5416554615,39.7432
5416554615,1253006420,39.7432
5416554615,1264364519,50.5629
1264364519,5416554615,50.5629
1264364519,1264315005,49.0661
1264315005,1264364519,49.0661
1264315005,5416554611,47.9152
5416554611,1264315005,47.9152
5416554611,11027011568,19.9842
11027011568,5416554611,19.9842
11027011568,1253025836,8.66205
1253025836,11027011568,8.66205
1253025836,1264319618,16.8678
1264319618,1253025836,16.8678
1264319618,1252936454,53.2708
1252936454,1264319618,53.2708
1252936454,5489103669,53.0317
5489103669,1252936454,53.0317
5489103669,1264338882,51.8887
1264338882,5489103669,51.8887
5413281702,5413281701,38.7605
5413281701,5413281702,38.7605
5413281701,8986847727,15.6428
8986847727,5413281701,15.6428
8986847727,10967277291,15.8816
10967277291,8986847727,15.8816
10967277291,5413281700,8.23383
5413281700,10967277291,8.23383
5413281700,8986847730,65.9504
8986847730,5413281700,65.9504
8986847730,5413281704,5.77006
5413281704,8986847730,5.77006
5413281704,5413281705,7.54333
5413281705,5413281704,7.54333
5413281705,5413281703,11.2329
5413281703,5413281705,11.2329
1264339878,10972469050,9.72851
10972469050,1264339878,9.72851
10972469050,5213518765,12.7691
5213518765,10972469050,12.7691
5213518765,5213518766,32.8471
